Febre de Chikungunya - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Todos os casos por Semana epidem. 1º Sintomas(s)
Classificação: Chikungunya
Período:2025
"Semana epidem. 1º Sintomas(s)";"Todos_os_casos"
"Semana 01";2316
"Semana 02";3400
"Semana 03";4132
"Semana 04";5075
"Semana 05";5726
"Semana 06";5690
"Semana 07";5366
"Semana 08";4206
"Semana 09";3468
"Semana 10";3529
"Semana 11";3775
"Semana 12";4004
"Semana 13";3776
"Semana 14";3943
"Semana 15";3670
"Semana 16";3261
"Semana 17";3707
"Semana 18";3491
"Semana 19";4082
"Semana 20";3819
"Semana 21";3623
"Semana 22";2853
"Semana 23";2362
"Semana 24";2126
"Semana 25";1513
"Semana 26";1381
"Semana 27";1323
"Semana 28";1091
"Semana 29";955
"Semana 30";890
"Semana 31";917
"Semana 32";753
"Semana 33";689
"Semana 34";735
"Semana 35";594
"Semana 36";598
"Semana 37";610
"Semana 38";707
"Semana 39";575
"Semana 40";575
"Semana 41";587
"Semana 42";431
"Semana 43";435
"Semana 44";403
"Semana 45";395
"Semana 46";477
"Semana 47";346
"Semana 48";295
"Semana 49";389
"Semana 50";348
"Semana 51";295
"Semana 52";333
"Semana 53";441
"Total";110481
 Fonte: Ministério da Saúde/SVSA - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 As bases de dados de chikungunya aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados disponibilizados pelo
 CGARB (Coordenação Geral de Vigilância de Arboviroses - CGARB) em sua série histórica, que para tal, realiza análise ano a ano, com a base congelada para cada ano analisado.
 A partir de 2020 o estado do Espírito Santo passou a utilizar o sistema e-SUS Vigilância em Saúde. Portanto, para os casos de Arboviroses urbanas do Espírito Santo foram
 considerados apenas os dados disponibilizados pelo Sinan online (dengue e chikungunya) e Sinan Net (zika).
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos e semana epidemiológica, em cada período pode apresentar notificações com data de notificação
 do ano anterior (semana epidemiológica 52 ou 53) e posterior (semana epidemiológica 01).
 Para cálculo da incidência, recomenda-se utilizar locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 06/07/2017.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 01/10/2019.
 Dados de 2019 atualizados em 10/07/2020.
 Dados de 2020 atualizados em 23/07/2021.
 Dados de 2021 atualizados em 12/07/2022.
 Dados de 2022 atualizados em 18/07/2023 às 03:00 horas, incluídos os dados do ES em 09/08/2023.
 Dados de 2023 atualizados em 04/06/2024 às 11:30 horas, incluídos os dados do ES em 04/06/2024.
 Dados de 2024 atualizados em 28/07/2025 às 03:00 horas, incluídos os dados do ES em 28/07/2025 às 12:00 horas.
 Dados de 2025 atualizados em 02/03/2026 às 18:00 horas, sujeitos à revisão e incluídos os dados do ES em 02/03/2026.
 Dados de 2026 atualizados em 16/03/2026 às 03:00 horas, sujeitos à revisão e incluídos os dados do ES em 16/03/2026.
 * Dados disponibilizados no TABNET em março de 2026.
 
